予算事業ID,府省庁,局・庁,事業の概要,当初予算,歳出予算現額,現状・課題,事業名,事業概要URL
86,内閣官房,副長官補付,特定複合観光施設の区域の整備の推進に関する法律及び特定複合観光施設区域整備法に基づき、特定複合観光施設区域の整備の推進に係る企画及び立案並びに総合調整等を行うために必要な調査等を実施する。,22585000.0,22585000.0,特定複合観光施設の区域の整備の推進に関する法律及び特定複合観光施設区域整備法においては、ＩＲ整備の推進にあたって、健全なカジノ事業の収益を活用し、地域の創意工夫及び民間の活力を生かすことにより、国際競争力の高い魅力ある滞在型観光の実現を目指すこととされている。,特定複合観光施設区域整備推進室経費,
91,内閣府,大臣官房,公文書管理に関する諸課題を毎年度設定し、当該課題について民間企業や諸外国等の実態調査を行い、それぞれのベストプラクティスを踏まえ、日本の公文書管理制度の在るべき姿の検討に活用する。本事業を通じ、公文書管理に関する諸課題について有識者の議論も踏まえた上で幅広く調査検討を行う。／なお、新たな国立公文書館の開館に向けては、令和3年5月に「新たな国立公文書館建設に係る実施設計」を取りまとめ、建物についての方向性を示し、令和6年3月には「新国立公文書館展示基本計画」を決定し、展示についての方向性を示した。令和3年度から開催している「魅力ある新国立公文書館の展示・運営の在り方に関する検討会」において、引き続き運営等の在り方について検討を進めている。,42745000.0,42745000.0,公文書管理の制度の検討を行うに当たっては、デジタル化の進展や公文書の利用に対するニーズの多様化という潮流も踏まえる必要がある。／また、新たな国立公文書館が、国の歴史の象徴としてふさわしく、世界に誇れる施設として運営されるよう、機能や体制の段階的な整備を早急に進める必要があるとの要請を「世界に誇る国民本位の新たな国立公文書館の建設を実現する議員連盟」から受けている。,国立公文書館の展示・運営の在り方等に関する調査検討経費,https://www8.cao.go.jp/chosei/koubun/shinkan/shinkan.html
112,内閣府,政策統括官（経済財政分析担当）,地方創生の担い手に対して、地域におけるデータ利活用を推進する取組を行う。具体的には、①全国の地方支分部局に配置した政策調査員を派遣してデータ利活用を促すための支援活動を実施するほか、②地域の政策立案を支援するワークショップや研修・セミナー等に向けた産業、人口、観光、農業などの地方創生の各専門分野において高度な知識・経験を有する有識者の紹介・派遣、③データ分析に基づいた地方創生施策に関するアイデアを募集するコンテスト等のイベントの開催や令和7年度に開催される大阪・関西万博において、地域のオープンデータ等を活用した企画展示等を実施する。,110732000.0,223018000.0,地域におけるエビデンスに基づいた地方公共団体の政策の企画立案（EBPM）を推進するため、地域経済に関する様々なオープンデータを地図やグラフ等で分かりやすく表示する地域経済分析システム（RESAS）の普及・活用を促進し、地方版総合戦略の策定や地方創生の推進に向けた取組等を情報面から支援している。地方公共団体において、RESAS等のデータ利活用ツールの活用は進展しており、EBPMの取組も進んでいるものの、地方公共団体のEBPM実施状況をみると、特に小規模の地方公共団体や施策の効果検証の場面において、データの利活用を行った割合が低い点が課題である。こうしたデータの利活用が進んでいない部分については対面型の取組を通じた先進事例の創出を行うほか、EBPMの取組が進展している場面においては活用事例等を用いた横展開の取組を通じて、地域の社会課題を効果的・効率的に推進することが求められる。,地方版総合戦略の推進に必要な経費,https://www.chisou.go.jp/sousei/resas/index.html
243,内閣府,日本学術会議,科学者間のネットワーク構築に寄与するため、各地域で、日本学術会議で集積した研究成果や学術情報の提供を行うほか、地域の科学者からの意見・要望等を聴取するため、科学者懇談会、地区会議公開学術講演会を開催する。,7436000.0,7436000.0,各地区（北海道、東北、中部、近畿、中国・四国、九州・沖縄）において、地域及び最近の話題などをテーマとした地区会議主催公開学術講演会、地域の科学者の意見を聴く場である科学者懇談会を開催し、地域の学術振興、科学者ネットワークを図っているところ、可能な限り開催経費を抑えつつ、参加者数を増加させる必要がある。／そのため、開催に当たっては、地域社会と関係の深いテーマや、議論が高まっているなど時宜にかなったテーマ、演者を選定し、魅力的な講演会等を開催すべく、引き続き各地区を支援していく必要がある。,科学者間ネットワークの構築,https://www.scj.go.jp/ja/area/index.html
304,内閣府,男女共同参画局,＜関係府省の施策全体の推進等に係る取組＞／①ＤＶ、性犯罪・性暴力などの暴力の根絶に係る政策の企画、立案、推進（改正DV防止法の円滑な運用及び施行後の状況を踏まえたＤＶ対策の強化、性犯罪・性暴力対策の更なる強化の方針に基づく関係省庁の施策の推進等）【非予算事業】　／②男女間における暴力に関する調査の実施【３年に１度実施（直近は令和５年度）】　／③広報啓発：⑤～⑦の相談窓口等の広報を含めた配偶者等からの暴力や、性犯罪・性暴力などのあらゆる暴力の根絶に向けた広報を実施。【15百万円（当初）】／／＜配偶者暴力被害者の支援等のため直接実施する事業＞／④性暴力・配偶者暴力被害者等支援交付金：都道府県等に対する交付金により、官民連携の下での民間シェルター等の先進的活動を支援。【316百万円（当初）】／⑤ＤＶ相談プラス：DV被害者の相談窓口として、24時間フリーダイヤルの電話相談、SNS相談、メール相談を提供。【351百万円（補正）】／／＜性犯罪・性暴力被害者の支援等のため直接実施する事業＞／⑥性犯罪・性暴力被害者支援のための交付金：都道府県等に対する交付金により、ワンストップ支援センターの運営の安定化（支援員の処遇改善等）及び被害者支援機能の強化（24時間365日対応化等）等を推進。【493百万円（当初）、108百万円（補正）】／⑦性暴力被害者等相談体制整備事業：多様な相談ニーズに対応するためSNS相談対応を実施。また、夜間休日に対応が難しいワンストップ支援センターの支援のため、夜間休日コールセンターを運営。【304百万円（補正）】,884717000.0,2472960000.0,・「男女間における暴力に関する調査」（令和５年度）によると、結婚したことがある人の25.1％（女性27.5％、男性22.0％）は、配偶者からの暴力を付けたことがあり、不同意性交等の被害経験のある人は、4.7％（女性8.1％、男性0.7％）に上るなど、深刻な状況である。 一方で、同調査によると、配偶者からの暴力被害の経験のある人の44.2％（女性36.3％、男性57.2％）、不同意性交等の被害を受けた人の55.7％が、どこにも相談していない。／・配偶者等からの暴力や性犯罪・性暴力においては、被害者等が相談しやすい環境や、いつでも必要なときに相談できる体制が必要であり、若年層をはじめSNSやメールなどの多様な相談手段へのニーズが高まっていることも踏まえ、相談手法も含めた相談支援体制の充実を図る必要がある。／・また、配偶者等からの暴力の被害者支援においては、令和６年４月より、改正配偶者暴力防止法や女性支援新法が施行され、相談内容の多様化や件数の増加も見込まれることから、被害者の保護・支援、相談体制の整備や周知等を一層強化していくことが求められる。その一環として、被害者の多様なニーズに対応するため、地方公共団体と先進的かつ専門的な支援を行う民間シェルター等との連携が必要であり、民間シェルター等への支援に関し中核的な役割を担う都道府県をはじめとする地方公共団体の取組への支援の充実を図る必要がある。,女性に対する暴力の根絶に向けた取組に必要な経費,https://www.gender.go.jp/policy/no_violence/index.html
468,消費者庁,,消費者ホットライン188の円滑な運用に向けて、各通信事業者における必要な設備の運営等及び消費者ホットラインの認知度向上に向けた広報を実施するものである。なお、本ホットラインについては、平成27年７月から３桁化（188）している。,121000000.0,121000000.0,消費者が消費者トラブルにあった場合に取り得る行動として、全体の40.7％の方が「市区町村の消費生活センターに相談する」と回答（消費生活相談におけるSNS等の利用に係る調査）しているが、消費生活センター等の連絡先を含め知っている消費者は3.9%（令和元年）にとどまっており、消費生活センター等の連絡先を知らない消費者に窓口を案内することにより、相談の第一歩を支援する必要がある。,消費者ホットラインの運用等,https://www.caa.go.jp/policies/policy/local_cooperation/local_consumer_administration/hotline/
960,外務省,アジア大洋州局,日本台湾交流協会は，民間団体ではあるが，台湾在留邦人の保護，日本人学校の運営管理，本邦入国を目的とする台湾住民，第三国への渡航証明書・査証の交付，貿易・経済関係を円滑に維持するための台湾側との折衝，その他技術交流や文化交流事業など，我が国の在外公館とほぼ同様の業務を行っている。,2414840000.0,2414840000.0,"１．台湾の現在の良好な日台関係は、日本語世代（平均年齢９０歳超）によって築かれた面が強く、今後は若い世代の対日理解者を増加させていくことが極めて重要。こうした認識の下、当協会の各種ツールを総動員して新たな知日派育成をあらゆる分野での交流を促進している。また台湾における対日世論形成に重要な役割を果たす人物に対する一層の対日理解促進を図る他、次世代を担うリーダー候補者の対日理解促進を進めている。　2．台湾の在留邦人数は21,102人（2023年10月現在）に達する中で、邦人保護業務の重要性は増しており、その実施に遺漏なきを期すとともに、ホームページ等のツールを活用して、タイムリーな情報提供、広報の強化を図る必要がある。",アジア友好促進補助金,
1082,外務省,領事局,当課の所掌事務である旅券発給事務に関連し、オンラインを含む旅券の申請・受付・審査・作成・交付・記録・管理等の多岐にわたる業務で必要となる旅券冊子類、申請書類の作成経費、物品消耗品、備品等の購入経費、旅券を作成するためのシステム開発・改修、機器類に係る賃貸借・保守や旅券情報の記録・管理等に必要な備品、役務調達経費及び関連人件費、都道府県や在外公館に上記物品を送付する際に必要な輸送費等の経費。日本国旅券発給のための足腰予算である。また研究会については旅券行政上の様々な問題点につき，有識者から知見を得るための会議開催経費。,9881816000.0,12797296000.0,１　令和６年度中の旅券の集中作成方式への移行及び２０２５年旅券の導入に向けて、関係省庁、都道府県及び関連事業者との間で制度設計やシステム整備のための研究・開発などの準備を引き続き進める。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　２　「デジタル社会の実現に向けた重点計画」（令和３年 12 月 24 日閣議決定）にのっとり、令和５年度から国内においてはマイナポータルを活用したオンライン申請を可能とした。 これに伴い、オンライン率向上のため積極的な広報を行う。／３　令和６年度中に、法務省が構築する戸籍情報連携システムにより提供される戸籍電子証明書を利用した戸籍謄本の添付の省略の実現を図るべく、デジタル庁や法務省と緊密に連携し、システム整備のための研究・開発などの準備を進める。／４　国内において一般旅券に関する事務を行っている都道府県及び再委託市町村の職員に対する研修等を引き続き実施することにより、国民への統一的な旅券行政サービスの提供に努める。また、都道府県との間で旅券の電子申請の運用や集中作成方式移行・２０２５年旅券に関する協議・連携を進める。／５　日本国旅券の不正取得・不正使用を防止するため、引き続き、旅券不正取得防止期間の実施による審査の強化に努める。,旅券関連業務,https://www.mofa.go.jp/mofaj/files/100387160.pdf
1094,外務省,領事局,①海外安全対策の啓発を図るため、外務省海外旅行登録「たびレジ」への登録促進や広報冊子の配布等を通じ、海外安全対策にかかる広報を行う。　　　　　　　　　　　　　　　　　　　　　　　　　／　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　／②海外での安全対策の基本や注意事項を国民に分かりやすく伝えるべく、人気劇画を利用した「ゴルゴ１３の中堅・中小企業向け海外安全対策マニュアル」を活用し、各種広報に取り組む。,15077000.0,15077000.0,ロシアによるウクライナ侵略やイスラエルによるガザ侵攻等、国際情勢はこれまでになく流動化し、海外渡航のリスクは高まっている中で、コロナに伴う水際措置が緩和され、国際的な人の往来が飛躍的に増加しているところ、邦人が被害に遭う蓋然性は格段に高まっている。／日本企業関係者に対し、コロナ以前には存在しなかったリスクを「自らの問題」として認識させ、これらリスクの回避のための傾向と対策、また有事の際の対応方法を体験型訓練を通じて身につけさせ、各企業の海外安全対策を見直してもらうとともに、官と民の連携を引き続き強化することが喫緊の課題。,領事業務啓発に係る経費（広報資料の作成・配付事業）,https://www.ezairyu.mofa.go.jp/tabireg/index.html
1391,財務省,国際局,本拠出金を通じ、主に以下の取り組みを実施。／１．重点分野である質の高いインフラ・防災・保健案件の組成支援や案件実施等に係る技術協力。／２．中南米地域には所得格差の大きな国が多いことを踏まえた、コミュニティ・ベースの小規模案件の支援を通じた格差是正・弱者支援。／３．開発分野における、日本の強みを活かした先駆的な取り組み（防災など）。,1542900000.0,1542900000.0,中南米・カリブ（LAC）地域は、ロシアによるウクライナ侵略の長期化や、世界的なインフレ率上昇などの影響を受けて、引き続き厳しい経済状況に置かれている。／食料不安、気候変動や債務危機といった地球規模の課題に加え、格差や低い労働生産性といった地域の構造的課題に対処し、持続的で強靭かつ包摂的な成長を実現するためには、IDBグループの果たす役割がより一層重要になっている。,米州開発銀行日本特別基金（JSF）への拠出,
